player_api_id,player_name,team_api_id,team_fifa_api_id,team_name,team_long_name,Country,League,season,PiyasaDegeri
210466,Mathieu Duhamel,4087,111271,Évian Thonon Gaillard FC,Évian Thonon Gaillard FC,France,France Ligue 1,2014/2015,1000000
23688,Mathieu Flamini,9825,1,Arsenal,Arsenal,England,England Premier League,2015/2016,3000000
186811,Mathieu Gorgelin,9748,66,Olympique Lyonnais,Olympique Lyonnais,France,France Ligue 1,2015/2016,400000
497572,Mathieu Maertens,9984,1750,KSV Cercle Brugge,KSV Cercle Brugge,Belgium,Belgium Jupiler League,2014/2015,600000
156716,Mathieu Philippe Peybernes,7794,58,SC Bastia,SC Bastia,France,France Ligue 1,2015/2016,1500000
40060,Mathieu Valbuena,9748,66,Olympique Lyonnais,Olympique Lyonnais,France,France Ligue 1,2015/2016,3500000
34035,Matias Emilio Delgado,9931,896,FC Basel,FC Basel,Switzerland,Switzerland Super League,2015/2016,750000
182765,Matias Ezequiel Schelotto,9768,237,Sporting CP,Sporting CP,Portugal,Portugal Liga ZON Sagres,2015/2016,4000000
47373,Matias Fernandez,8535,110374,Fiorentina,Fiorentina,Italy,Italy Serie A,2015/2016,6000000
412762,Matias Kranevitter,9906,240,Atlético Madrid,Atlético Madrid,Spain,Spain LIGA BBVA,2015/2016,6000000
429986,Matias Malvino,7896,2000003,Lugano,Lugano,Switzerland,Switzerland Super League,2015/2016,850000
517941,Matias Nahuel Leiva,10205,483,Villarreal CF,Villarreal CF,Spain,Spain LIGA BBVA,2015/2016,4000000
18823,Matias Silvestre,9882,1837,Sampdoria,Sampdoria,Italy,Italy Serie A,2015/2016,2000000
46552,Matias Suarez,8635,229,RSC Anderlecht,RSC Anderlecht,Belgium,Belgium Jupiler League,2015/2016,2500000
206322,Matias Vecino,8535,110374,Fiorentina,Fiorentina,Italy,Italy Serie A,2015/2016,12000000
67332,Matias Vitkieviez,10192,900,BSC Young Boys,BSC Young Boys,Switzerland,Switzerland Super League,2014/2015,250000
213485,Matija Nastasic,10189,34,FC Schalke 04,FC Schalke 04,Germany,Germany 1. Bundesliga,2015/2016,12000000
196172,Matija Sirok,1957,110745,Jagiellonia Białystok,Jagiellonia Białystok,Poland,Poland Ekstraklasa,2015/2016,300000
36388,Mats Hummels,9789,22,Borussia Dortmund,Borussia Dortmund,Germany,Germany 1. Bundesliga,2015/2016,38000000
214123,Mats Moeller Daehli,8358,25,SC Freiburg,SC Freiburg,Germany,Germany 1. Bundesliga,2014/2015,750000
178283,Mats Rits,8203,110724,KV Mechelen,KV Mechelen,Belgium,Belgium Jupiler League,2015/2016,900000
279116,Mats Seuntjes,9761,1904,NAC Breda,NAC Breda,Netherlands,Netherlands Eredivisie,2014/2015,750000
478357,Matt Grimes,10003,1960,Swansea City,Swansea City,England,England Premier League,2015/2016,2000000
23538,Matt Jarvis,9850,1792,Norwich City,Norwich City,England,England Premier League,2015/2016,3000000
458324,Matt Miazga,8455,5,Chelsea,Chelsea,England,England Premier League,2015/2016,2500000
155913,Matt Ritchie,8678,1943,Bournemouth,Bournemouth,England,England Premier League,2015/2016,8000000
538112,Matt Targett,8466,17,Southampton,Southampton,England,England Premier League,2015/2016,3000000
279820,Matteo Bianchetti,9876,206,Hellas Verona,Hellas Verona,Italy,Italy Serie A,2015/2016,900000
39376,Matteo Brighi,9857,189,Bologna,Bologna,Italy,Italy Serie A,2015/2016,400000
182715,Matteo Ciofani,9891,111657,Frosinone,Frosinone,Italy,Italy Serie A,2015/2016,800000
46820,Matteo Darmian,10260,11,Manchester United,Manchester United,England,England Premier League,2015/2016,15000000
448321,Matteo Fedele,208931,112409,Carpi,Carpi,Italy,Italy Serie A,2015/2016,450000
415113,Matteo Mancosu,208931,112409,Carpi,Carpi,Italy,Italy Serie A,2015/2016,850000
415539,Matteo Politano,7943,111974,Sassuolo,Sassuolo,Italy,Italy Serie A,2015/2016,5000000
140490,Matteo Tosetti,7896,2000003,Lugano,Lugano,Switzerland,Switzerland Super League,2015/2016,600000
173408,Matthew James,8197,95,Leicester City,Leicester City,England,England Premier League,2014/2015,1500000
185014,Matthew Leckie,8234,111239,FC Ingolstadt 04,FC Ingolstadt 04,Germany,Germany 1. Bundesliga,2015/2016,2000000
183715,Matthew Lowton,10252,2,Aston Villa,Aston Villa,England,England Premier League,2014/2015,1500000
127133,Matthew Phillips,10172,15,Queens Park Rangers,Queens Park Rangers,England,England Premier League,2014/2015,6000000
303999,Matthew Steenvoorden,6631,100626,FC Dordrecht,FC Dordrecht,Netherlands,Netherlands Eredivisie,2014/2015,250000
24372,Matthew Taylor,8191,1796,Burnley,Burnley,England,England Premier League,2014/2015,250000
